yi,vi,ID,Paper.Number,Experiment.Number,Effect.Size.Number,Paper.and.Exp,Paper,Publication.Year,DOI,Article.Title,Journal,Design,N_Total,N_Intervention,N_Control,Begin.Selection.Factors,Meta-analysis.Source,sample,Measure,task,sound,End.Selection.Factors,Begin.Selection.Numerics,IF,db,End.Selection.Numerics,sound_type,mean_C,var_C,mean_E,var_E,var_type,d,d_var,g,g_var,CI95_L,CI95_R,reference
-0.4572534604993423,0.024367842638951122,51,51,1,1,"Sörqvist et al. (2010c), Exp.1",Sörqvist et al. (2010c),2010,not recorded,not recorded,Memory,within,24,24,24,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,speech,,,1.976,65,,native,0.61,0.17,0.49,0.19,SD,-0.6597907100883512,0.026057606520293677,-0.4572534604993423,0.024367842638951122,-0.7632134321979203,-0.15129348880076432,NA
-0.30376445667184504,0.012880906682630677,52,51,2,1,"Sörqvist et al. (2010c), Exp.2",Sörqvist et al. (2010c),2010,not recorded,not recorded,Memory,within,42,42,42,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,speech,,,1.976,65,,native,0.54,0.15,0.47,0.17,SD,-0.43181234380610356,0.013368469126984939,-0.30376445667184504,0.012880906682630677,-0.5262128576820434,-0.08131605566164671,NA
-0.10443055715232524,0.015446813423313898,53,53,1,1,Halin et al. (2014),Halin et al. (2014),2014,not recorded,not recorded,Journal of Applied Research in Memory and Cognition,within,32,32,32,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,speech,,,2.063,65,,native,59.629999999999995,NA,56.265,NA,NA,-0.1493626243476508,0.016228808352869165,-0.10443055715232524,0.015446813423313898,-0.34802956874104796,0.13916845443639747,NA
-0.7028366919913188,0.03030323198209021,57,57,1,1,Baker & Madell (1965),Baker & Madell (1965),1965,not recorded,not recorded,Journal of Educational Psychology,within,24,24,24,,"Vasilev, et al. (2018)",adults,perc_correct,reading comprehension,speech,,,3.256,NA,,native,79.5,18.9,49,31.5,SD,-1.0141533310184037,0.032404579551096206,-0.7028366919913188,0.03030323198209021,-1.0440300330494319,-0.3616433509332059,NA
-0.03618627478385655,0.01237163649023097,58,58,1,1,Vasilev et al. (n.d.),Vasilev et al. (n.d.),2016,not recorded,not recorded,NA,within,40,40,40,,"Vasilev, et al. (2018)",adults,perc_correct,reading comprehension,noise+speech,,,NA,60,,NA,0.9363636,0.2443819,0.9227272666666667,0.2667118333333333,SD,-0.05148994906557769,0.012864809845818866,-0.03618627478385655,0.01237163649023097,-0.25419287730054935,0.18182032773283627,NA
-0.2608990373823837,0.09269680581427366,59,59,1,1,"Falcon (2017), Sample 1",Falcon (2017),2017,not recorded,not recorded,NA,between,42,20,22,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,NA,55,,classical,5.86,2.1,5.35,1.694,SD,-0.2659163265628141,0.0962963489394581,-0.2608990373823837,0.09269680581427366,-0.8576435800604996,0.33584550529573226,NA
1.3218562216523095,0.08997695974938381,60,59,1,2,"Falcon (2017), Sample 2",Falcon (2017),2017,not recorded,not recorded,NA,between,53,28,25,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,NA,55,,classical,5.24,2.204,7.68,1.389,SD,1.3416840649770942,0.09269651335780893,1.3218562216523095,0.08997695974938381,0.7339314912886065,1.9097809520160127,NA
-0.39438576080428667,0.029977897896654157,61,61,1,1,Ahuja (2016),Ahuja (2016),2016,not recorded,not recorded,NA,within,20,20,20,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,60,,NA,2.45,0.887,1.975,0.676,SD,-0.5732452551589107,0.032528101016334805,-0.39438576080428667,0.029977897896654157,-0.7337426416241495,-0.05502887998442385,NA
0.11754263667170317,0.06411458487081467,62,62,1,1,Kou et al. (2017),Kou et al. (2017),2017,not recorded,not recorded,Psychology of Music,between,92,61,31,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music+noise,,,1.394,65,,NA,6.5,2.52,6.8,2.45,SD,0.11913266168470009,0.06577153964987179,0.11754263667170317,0.06411458487081467,-0.3787461796839766,0.613831453027383,NA
0.06565379802065718,0.06160780071508118,65,65,1,1,Gillis (2016),Gillis (2016),2016,not recorded,not recorded,NA,between,71,47,24,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,NA,,various,8.39864864864865,NA,8.530405405405405,NA,NA,0.06637792079294384,0.06297429078014184,0.06565379802065718,0.06160780071508118,-0.4208362093043195,0.5521438053456338,NA
-0.10608161271154987,0.08088092503599138,66,66,1,1,Adam (2019),Adam (2019),2019,not recorded,not recorded,Dissertation,between,48,25,23,,2023 additional studies,adults,num_correct,reading comprehension,music,,,NA,55,,instrumental,NA,NA,NA,NA,NA,-0.1078496395900757,0.08359942279414553,-0.10608161271154987,0.08088092503599138,-0.6634972221254454,0.4513339967023456,"Adam, E. (2019). The Influence of Background Music on Learning From Text (Doctoral dissertation, University of Geneva)."
0.18986708801317526,0.024608641141857027,67,67,1,1,Christensen and Hansson (2018),Christensen and Hansson (2018),2018,not recorded,not recorded,Dissertation,within,20,20,20,,2023 additional studies,adults,prop_correct,reading comprehension,music,,,NA,NA,,slow tempo+fast tempo,NA,NA,NA,NA,NA,0.276006689464541,0.0267020845723275,0.18986708801317526,0.024608641141857027,-0.04249089940445182,0.5724237431763705,"Christensen, T., & Hansson, T. (2018). A study of how tempo in music affects reading comprehension when consuming written news on a smartphone."
-0.0642379416941009,0.013359519877512249,68,68,1,1,Herring and Scott (2018),Herring and Scott (2018),2018,not recorded,not recorded,Journal of Emerging Investigators,within,37,37,37,,2023 additional studies,adults,num_correct,reading comprehension,music,,,NA,NA,,instrumental+Spanish+English,NA,NA,NA,NA,NA,-0.09156737621604713,0.013938205202818773,-0.0642379416941009,0.013359519877512249,-0.31618973288716784,0.1368969682683343,"Da’Naesha Herring, J. S. (2018). The Effect of Lyrical and Instrumental Music on Reading Comprehension tasks. Journal of Emerging Investigators"
-0.39960618029440537,0.14739373313798015,70,70,1,1,Du et al. (2020),Du et al. (2020),2020,not recorded,not recorded,Scientific Reports,between,26,13,13,,2023 additional studies,adults,perc_correct,reading comprehension,music,,,4.99,NA,,low arousal+high arousal,NA,NA,NA,NA,NA,-0.4126368166083534,0.15716309564866146,-0.39960618029440537,0.14739373313798015,-1.152085131766201,0.3528727711773904,"Du, M., Jiang, J., Li, Z., Man, D., & Jiang, C. (2020). The effects of background music on neural responses during reading comprehension. Scientific Reports, 10(1), 1-10."
-0.07831539163145293,0.008291630130293683,72,72,1,1,Hao and Conway (2021),Hao and Conway (2021),2021,not recorded,not recorded,Memory & Cognition,within,61,61,61,,2023 additional studies,adults,num_correct,reading comprehension,speech,,,2.482,NA,,intelligible+unintelligible,NA,NA,NA,NA,NA,-0.110681280101511,0.008503774143071413,-0.07831539163145293,0.008291630130293683,-0.28776430560700117,0.06918035494627649,"Hao, H., & Conway, A. R. (2021). The impact of auditory distraction on reading comprehension: An individual differences investigation. Memory & Cognition, 1-12."
